ID,Defect_ID,Control_Type,State,Timestamp
1,1,ACC03,new,2025-05-16 00:05:31
2,2,ACC17,new,2025-05-16 00:12:42
3,3,ACC28,new,2025-05-16 00:13:44
4,1,ACC03,assign,2025-05-16 00:18:57
5,1,ACC03,in-progress,2025-05-16 00:22:43
6,1,ACC03,closed,2025-05-16 00:34:56
7,2,ACC17,assign,2025-05-16 00:42:45
8,4,AUTH18,new,2025-05-16 01:02:12
9,2,ACC17,in-progress,2025-05-16 01:12:56
10,3,ACC28,assign,2025-05-16 01:43:43
11,2,ACC17,closed,2025-05-16 01:59:42
12,4,AUTH18,assign,2025-05-16 02:04:34
13,5,ACC03,new,2025-05-16 02:15:16
14,4,AUTH18,in-progress,2025-05-16 02:18:17
15,6,AUTH42,new,2025-05-16 02:22:34
16,6,AUTH42,assign,2025-05-16 02:45:16
17,6,AUTH42,in-progress,2025-05-16 02:47:00
18,6,AUTH42,closed,2025-05-16 02:52:32
19,5,ACC03,assign,2025-05-16 03:05:57
20,7,ACC17,new,2025-05-16 03:13:49
21,3,ACC28,in-progress,2025-05-16 03:19:20
22,5,ACC03,in-progress,2025-05-16 03:33:54
23,4,AUTH18,closed,2025-05-16 03:54:27
24,5,ACC03,closed,2025-05-16 04:17:45
25,3,ACC28,closed,2025-05-16 04:23:20
26,7,ACC17,assign,2025-05-16 04:49:38
27,7,ACC17,in-progress,2025-05-16 04:52:47
28,7,ACC17,closed,2025-05-16 04:55:35
29,8,ACC03,new,2025-05-17 07:42:49
30,9,ACC03,new,2025-05-17 07:43:34
31,9,ACC03,assign,2025-05-17 07:59:48
32,8,ACC03,assign,2025-05-17 08:02:32
33,8,ACC03,in-progress,2025-05-17 08:14:54
34,10,ACC03,new,2025-05-17 10:12:13
35,8,ACC03,closed,2025-05-17 11:13:54
36,9,ACC03,in-progress,2025-05-17 11:22:45
37,10,ACC03,assign,2025-05-17 11:42:34
38,10,ACC03,in-progress,2025-05-17 13:45:12
39,9,ACC03,closed,2025-05-17 15:43:35
40,10,ACC03,closed,2025-05-17 15:56:23
41,11,ACC03,new,2025-05-19 18:01:33
42,12,ACC03,new,2025-05-19 18:01:56
43,13,ACC03,new,2025-05-19 18:02:14
44,14,ACC03,new,2025-05-19 18:02:36
45,12,ACC03,assign,2025-05-20 09:54:06
46,12,ACC03,in-progress,2025-05-20 09:55:46
47,11,ACC03,assign,2025-05-20 10:12:35
48,13,ACC03,assign,2025-05-20 11:16:13
49,14,ACC03,assign,2025-05-20 12:47:27
50,11,ACC03,in-progress,2025-05-20 13:14:58
51,13,ACC03,in-progress,2025-05-20 13:15:23
52,12,ACC03,closed,2025-05-20 13:42:36
53,14,ACC03,in-progress,2025-05-20 14:07:28
54,11,ACC03,closed,2025-05-20 17:49:32
55,13,ACC03,closed,2025-05-20 17:50:45
56,14,ACC03,closed,2025-05-20 17:52:10
57,15,AUTH18,new,2025-05-22 07:11:15
58,16,ACC28,new,2025-05-22 07:12:42
59,17,ACC28,new,2025-05-22 07:12:59
60,15,AUTH18,assign,2025-05-22 09:18:34
61,16,ACC28,assign,2025-05-22 09:28:56
62,18,ACC17,new,2025-05-22 11:15:16
63,19,ACC03,new,2025-05-22 11:15:18
64,17,ACC28,assign,2025-05-22 13:04:26
65,16,ACC28,in-progress,2025-05-22 13:33:45
66,18,ACC17,assign,2025-05-22 14:02:56
67,15,AUTH18,in-progress,2025-05-22 14:56:23
68,17,ACC28,in-progress,2025-05-22 17:47:23
69,16,ACC28,closed,2025-05-23 11:49:22
70,19,ACC03,assign,2025-05-23 11:52:37
71,18,ACC17,in-progress,2025-05-23 12:34:16
72,15,AUTH18,closed,2025-05-23 16:21:49
73,20,AUTH42,new,2025-05-24 02:34:27
74,21,AUTH42,new,2025-05-24 02:35:01
75,22,AUTH42,new,2025-05-24 02:35:16
76,23,AUTH42,new,2025-05-24 02:35:39
77,17,ACC28,closed,2025-05-24 10:34:56
78,18,ACC17,closed,2025-05-24 10:35:13
79,20,AUTH42,assign,2025-05-24 10:39:28
80,21,AUTH42,assign,2025-05-24 10:40:13
81,19,ACC03,in-progress,2025-05-25 09:48:17
82,22,AUTH42,assign,2025-05-25 11:35:18
83,20,AUTH42,in-progress,2025-05-25 13:42:55
84,21,AUTH42,in-progress,2025-05-25 13:45:36
85,23,AUTH42,assign,2025-05-25 14:53:17
86,24,AUTH18,new,2025-05-25 15:16:45
87,25,AUTH18,new,2025-05-25 15:17:02
88,19,ACC03,closed,2025-05-25 18:01:24
89,22,AUTH42,in-progress,2025-05-25 18:02:25
90,24,AUTH18,assign,2025-05-27 10:15:36
91,25,AUTH18,assign,2025-05-27 10:16:10
92,23,AUTH42,in-progress,2025-05-27 12:03:56
93,21,AUTH42,closed,2025-05-27 16:49:32
94,20,AUTH42,closed,2025-05-27 16:51:57
95,25,AUTH18,in-progress,2025-05-27 17:34:05
96,22,AUTH42,closed,2025-05-27 18:26:53
97,24,AUTH18,in-progress,2025-05-28 09:42:34
98,23,AUTH42,closed,2025-05-28 11:47:12
99,26,ACC17,new,2025-05-28 12:34:57
100,25,AUTH18,closed,2025-05-28 13:45:16
101,26,ACC17,assign,2025-05-28 14:05:13
102,26,ACC17,in-progress,2025-05-28 16:17:48
103,24,AUTH18,closed,2025-05-28 17:44:09
104,26,ACC17,closed,2025-05-28 17:45:18
105,27,ACC17,new,2025-05-28 23:47:53
106,28,ACC17,new,2025-05-28 23:47:56
107,29,ACC17,new,2025-05-28 23:48:01
